algoritmo,n,escenario,repeticion,comparaciones,tiempo_ns
binaria,10000,centro,16,13,209722
lineal,10000,centro,17,8695,939372
binaria,10000,centro,17,13,211002
lineal,10000,centro,18,8695,933536
binaria,10000,centro,18,13,207167
lineal,10000,centro,19,8695,1040606
binaria,10000,centro,19,13,246896
lineal,10000,centro,20,8695,1153181
binaria,10000,centro,20,13,211581
lineal,10000,centro,21,8695,999160
binaria,10000,centro,21,13,219479
lineal,10000,centro,22,8695,973983
binaria,10000,centro,22,13,209165
lineal,10000,centro,23,8695,958581
binaria,10000,centro,23,13,219182
lineal,10000,centro,24,8695,934603
binaria,10000,centro,24,13,229051
lineal,10000,centro,25,8695,965227
binaria,10000,centro,25,13,208445
lineal,10000,centro,26,8695,941978
binaria,10000,centro,26,13,207489
lineal,10000,centro,27,8695,939351
binaria,10000,centro,27,13,208110
lineal,10000,centro,28,8695,934778
binaria,10000,centro,28,13,209059
lineal,10000,centro,29,8695,921895
binaria,10000,centro,29,13,207052
lineal,10000,final,0,1360,324122
binaria,10000,final,0,12,211440
lineal,10000,final,1,1360,308345
binaria,10000,final,1,12,212477
lineal,10000,final,2,1360,313157
binaria,10000,final,2,12,219525
lineal,10000,final,3,1360,310649
binaria,10000,final,3,12,214904
lineal,10000,final,4,1360,311443
binaria,10000,final,4,12,205901
lineal,10000,final,5,1360,313174
binaria,10000,final,5,12,228727
lineal,10000,final,6,1360,311318
binaria,10000,final,6,12,212990
lineal,10000,final,7,1360,318652
binaria,10000,final,7,12,336704
lineal,10000,final,8,1360,380215
binaria,10000,final,8,12,208151
lineal,10000,final,9,1360,402783
binaria,10000,final,9,12,209012
lineal,10000,final,10,1360,312158
binaria,10000,final,10,12,297819
lineal,10000,final,11,1360,310478
binaria,10000,final,11,12,291912
lineal,10000,final,12,1360,386880
binaria,10000,final,12,12,209615
lineal,10000,final,13,1360,311706
binaria,10000,final,13,12,222465
lineal,10000,final,14,1360,375770
binaria,10000,final,14,12,206646
lineal,10000,final,15,1360,374689
binaria,10000,final,15,12,289271
lineal,10000,final,16,1360,309129
binaria,10000,final,16,12,208602
lineal,10000,final,17,1360,374144
binaria,10000,final,17,12,267919
lineal,10000,final,18,1360,412919
binaria,10000,final,18,12,208956
lineal,10000,final,19,1360,383954
binaria,10000,final,19,12,207921
lineal,10000,final,20,1360,354914
binaria,10000,final,20,12,265739
lineal,10000,final,21,1360,359852
binaria,10000,final,21,12,245428
lineal,10000,final,22,1360,377659
binaria,10000,final,22,12,235414
lineal,10000,final,23,1360,342504
binaria,10000,final,23,12,243130
lineal,10000,final,24,1360,384155
binaria,10000,final,24,12,208308
lineal,10000,final,25,1360,329251
binaria,10000,final,25,12,372168
lineal,10000,final,26,1360,335869
binaria,10000,final,26,12,207454
lineal,10000,final,27,1360,579970
binaria,10000,final,27,12,219111
lineal,10000,final,28,1360,323009
binaria,10000,final,28,12,252662
lineal,10000,final,29,1360,378183
binaria,10000,final,29,12,245659
lineal,10000,ausente,0,10000,1181096
binaria,10000,ausente,0,14,275710
lineal,10000,ausente,1,10000,1182363
binaria,10000,ausente,1,14,221663
lineal,10000,ausente,2,10000,1357588
binaria,10000,ausente,2,14,272598
lineal,10000,ausente,3,10000,1134278
binaria,10000,ausente,3,14,213059
lineal,10000,ausente,4,10000,1160147
binaria,10000,ausente,4,14,251275
lineal,10000,ausente,5,10000,1321159
binaria,10000,ausente,5,14,215796
lineal,10000,ausente,6,10000,1580821
binaria,10000,ausente,6,14,216563
lineal,10000,ausente,7,10000,1260466
binaria,10000,ausente,7,14,213150
lineal,10000,ausente,8,10000,1232150
binaria,10000,ausente,8,14,241022
lineal,10000,ausente,9,10000,1156687
binaria,10000,ausente,9,14,214043
lineal,10000,ausente,10,10000,1170551
binaria,10000,ausente,10,14,261437
lineal,10000,ausente,11,10000,1160243
binaria,10000,ausente,11,14,222838
lineal,10000,ausente,12,10000,1074561
binaria,10000,ausente,12,14,215088
lineal,10000,ausente,13,10000,1061391
binaria,10000,ausente,13,14,238732
lineal,10000,ausente,14,10000,1055185
binaria,10000,ausente,14,14,316343
lineal,10000,ausente,15,10000,1795906
binaria,10000,ausente,15,14,359658
lineal,10000,ausente,16,10000,1858529
binaria,10000,ausente,16,14,216367
lineal,10000,ausente,17,10000,1076031
binaria,10000,ausente,17,14,251451
lineal,10000,ausente,18,10000,1077751
binaria,10000,ausente,18,14,210260
lineal,10000,ausente,19,10000,1112202
binaria,10000,ausente,19,14,213924
lineal,10000,ausente,20,10000,1341177
binaria,10000,ausente,20,14,222922
lineal,10000,ausente,21,10000,1069427
binaria,10000,ausente,21,14,212430
lineal,10000,ausente,22,10000,1058597
binaria,10000,ausente,22,14,208398
lineal,10000,ausente,23,10000,1066826
binaria,10000,ausente,23,14,223368
lineal,10000,ausente,24,10000,1035175
binaria,10000,ausente,24,14,207799
lineal,10000,ausente,25,10000,1052949
binaria,10000,ausente,25,14,207964
lineal,10000,ausente,26,10000,1035971
binaria,10000,ausente,26,14,207820
lineal,10000,ausente,27,10000,1022842
binaria,10000,ausente,27,14,219276
lineal,10000,ausente,28,10000,1018263
binaria,10000,ausente,28,14,215518
lineal,10000,ausente,29,10000,1041642
binaria,10000,ausente,29,14,208276
lineal,100000,inicio,0,36691,5877497
binaria,100000,inicio,0,16,2322467
lineal,100000,inicio,1,36691,7127141
binaria,100000,inicio,1,16,2723958
lineal,100000,inicio,2,36691,5542423
binaria,100000,inicio,2,16,2314358
lineal,100000,inicio,3,36691,5539594
binaria,100000,inicio,3,16,2371219
lineal,100000,inicio,4,36691,5392865
binaria,100000,inicio,4,16,2274718
lineal,100000,inicio,5,36691,5619833
binaria,100000,inicio,5,16,2453109
lineal,100000,inicio,6,36691,5619297
binaria,100000,inicio,6,16,2317169
lineal,100000,inicio,7,36691,5456720
binaria,100000,inicio,7,16,2437879
lineal,100000,inicio,8,36691,5643885
binaria,100000,inicio,8,16,2472555
lineal,100000,inicio,9,36691,5443201
binaria,100000,inicio,9,16,2474683
lineal,100000,inicio,10,36691,5507825
binaria,100000,inicio,10,16,2300719
lineal,100000,inicio,11,36691,5469099
binaria,100000,inicio,11,16,2325685
lineal,100000,inicio,12,36691,5445386
binaria,100000,inicio,12,16,2431115
lineal,100000,inicio,13,36691,5423094
binaria,100000,inicio,13,16,2481697
lineal,100000,inicio,14,36691,5560979
binaria,100000,inicio,14,16,2331298
lineal,100000,inicio,15,36691,5496928
binaria,100000,inicio,15,16,2374884
lineal,100000,inicio,16,36691,5566911
binaria,100000,inicio,16,16,2383043
lineal,100000,inicio,17,36691,5788834
binaria,100000,inicio,17,16,2375602
lineal,100000,inicio,18,36691,5666990
binaria,100000,inicio,18,16,2526802
lineal,100000,inicio,19,36691,5710775
binaria,100000,inicio,19,16,2366061
lineal,100000,inicio,20,36691,7817152
binaria,100000,inicio,20,16,2628423
lineal,100000,inicio,21,36691,5885413
binaria,100000,inicio,21,16,2463720
lineal,100000,inicio,22,36691,6133744
binaria,100000,inicio,22,16,2420107
lineal,100000,inicio,23,36691,5701578
binaria,100000,inicio,23,16,2372571
lineal,100000,inicio,24,36691,5565908
binaria,100000,inicio,24,16,2309626
lineal,100000,inicio,25,36691,5800468
binaria,100000,inicio,25,16,2359164
lineal,100000,inicio,26,36691,5592431
binaria,100000,inicio,26,16,2803370
lineal,100000,inicio,27,36691,5879527
binaria,100000,inicio,27,16,2470880
lineal,100000,inicio,28,36691,5531814
binaria,100000,inicio,28,16,2398542
lineal,100000,inicio,29,36691,5667961
binaria,100000,inicio,29,16,2356406
lineal,100000,centro,0,2916,2654970
binaria,100000,centro,0,1,2312727
lineal,100000,centro,1,2916,2883866
binaria,100000,centro,1,1,2376133
lineal,100000,centro,2,2916,2624824
binaria,100000,centro,2,1,2341246
lineal,100000,centro,3,2916,2941506
binaria,100000,centro,3,1,2538784
lineal,100000,centro,4,2916,3020032
binaria,100000,centro,4,1,2402964
lineal,100000,centro,5,2916,2632426
binaria,100000,centro,5,1,2371837
lineal,100000,centro,6,2916,2978656
binaria,100000,centro,6,1,2453060
lineal,100000,centro,7,2916,2573140
binaria,100000,centro,7,1,2314625
